feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Gardnerella_vaginalis	RACE	BLACK-WHITE	-0.590179635400679	0.236387859368918	10001	9991	0.012552975319079	0.0574623266761288
Bifidobacterium_animalis	HORMONAL_MENOPAUSE	YE	0.139537862340765	0.0564392833402477	10001	1689	0.0134392130706535	0.0612551256696739
Fannyhessea_vaginae	RACE	WHITE	-0.391300197423635	0.158390262720484	10001	7782	0.0135097194581174	0.0613133421560713
Prevotella_bivia	BMI	BMI	0.0575217901760086	0.0233808128791213	10001	6985	0.0139022602185023	0.062826384476806
Corynebacterium_pseudogenitalium	RACE	WHITE	0.147758106859414	0.0603594425746313	10001	1016	0.0143834593707482	0.0647255671683671
Gardnerella_leopoldii	RACE	BLACK-WHITE	-0.612125195087183	0.250621152460671	10001	8197	0.014605892023546	0.0654491870422186
Aspergillus_flavus	HORMONAL_MENOPAUSE	NO	-0.14022804762731	0.0577805191391046	10001	1569	0.0152456681280123	0.067693999482891
Escherichia_coli	Cohort	BV only	0.0790654289793922	0.0326094157338452	10001	2622	0.0153420696484786	0.067693999482891
Lactobacillus_crispatus	HORMONAL_MENOPAUSE	YE	-0.552028881509904	0.227573231405845	10001	9982	0.0152956733890771	0.067693999482891
Lactobacillus_helveticus	HORMONAL_MENOPAUSE	PD	-0.1864929898138	0.0769312226005442	10001	2679	0.015361820974931	0.067693999482891
Escherichia_coli	RACE	WHITE	-0.210134972469227	0.0872661453561093	10001	2622	0.016059160221724	0.0702577689842299
Megasphaera_lornae	RACE	BLACK	0.419693178486301	0.174320370668865	10001	7418	0.0160759301913068	0.0702577689842299
Pichia_kudriavzevii	RACE	BLACK	-0.124267312579431	0.051655281353613	10001	1160	0.0161594133236197	0.070333184220017
Bifidobacterium_breve	RACE	BLACK	-0.30647116078568	0.127567571936471	10001	1687	0.016305049115424	0.0703900900836595
Gardnerella_spD	Cohort	BV&UTI	0.0748351146430927	0.0311356040095394	10001	1089	0.0162561051121811	0.0703900900836595
Gardnerella_spG	AGE	AGE	0.0495146730890093	0.0206247456686643	10001	3714	0.0163800987966187	0.0704277932065144
Gardnerella_swidsinskii	HORMONAL_MENOPAUSE	YE	0.421631477593207	0.175948982391794	10001	9970	0.0165785521916338	0.0709936388206254
Gardnerella_piotii	RACE	BLACK-WHITE	-0.571784997944879	0.240154870278886	10001	9242	0.0172889951032911	0.0737386056212656
Streptococcus_constellatus	RACE	MULT-RACIAL	-0.187532809606363	0.0788519035054787	10001	1075	0.0174117798872859	0.0739652409611905
Escherichia_coli	RACE	HISPANIC	-0.231946179116054	0.0979877182514691	10001	2622	0.0179473281659361	0.0759365040327657
Streptococcus_anginosus	RACE	BLACK	-0.293589670218036	0.125055271821202	10001	2197	0.0189102008974308	0.0796929894963154
Aspergillus_flavus	RACE	BLACK	-0.141306285441953	0.0604493507455044	10001	1569	0.0194277645563775	0.0815505373868494
Gardnerella_spA	HORMONAL_MENOPAUSE	YE	0.402956366665463	0.172874654517117	10001	7946	0.0197775805550482	0.0826920887774065
Streptococcus_agalactiae	Cohort	BV only	0.0848618907449513	0.0364649748511372	10001	1572	0.0199736441243812	0.0831843531768348
Sneathia_sanguinegens	BMI	BMI	-0.0298998879712114	0.0129041239527157	10001	1822	0.0205195069453455	0.0851238920935816
Bifidobacterium_animalis	Cohort	UTI only	0.0573754474327943	0.0247960574295698	10001	1689	0.0206937484964889	0.0851812438111285
Fannyhessea_vaginae	RACE	BLACK-WHITE	-0.640042441916856	0.276544607801929	10001	7782	0.0206644808888067	0.0851812438111285
Clostridiales_bacterium	Cohort	UTI only	-0.0694966005278893	0.0301807373139479	10001	1089	0.0213172863161417	0.0870729156451634
Lactobacillus_helveticus	RACE	OTHER-COMBINE	0.164064447546555	0.0712432053598859	10001	2679	0.0213061441990326	0.0870729156451634
Streptococcus_agalactiae	RACE	MULT-RACIAL	-0.281039814089918	0.122166173607314	10001	1572	0.0214420372721212	0.0872469102796658
Candida_albicans	BMI	BMI	-0.0234555941581949	0.0103109422009808	10001	1027	0.0229375176631898	0.0929757395355252
Escherichia_coli	HORMONAL_MENOPAUSE	PT	-0.236940482532928	0.104354129507897	10001	2622	0.023195906297832	0.0936655988148197
Peptoniphilus_lacrimalis	Cohort	BV&UTI	0.0864571431198486	0.0381306024927129	10001	1597	0.023387386987095	0.094081079470814
Lactobacillus_helveticus	HORMONAL_MENOPAUSE	NO	-0.130221764688969	0.057526293329591	10001	2679	0.0236144884932202	0.0946361765275464
Gardnerella_leopoldii	HORMONAL_MENOPAUSE	YE	0.402715472527898	0.179373460839306	10001	8197	0.0247820447597361	0.0989418478753374
Lactobacillus_crispatus	HORMONAL_MENOPAUSE	PD	-0.59807599753096	0.2665729336565	10001	9982	0.0248816885627903	0.0989676151823344
Aspergillus_flavus	RACE	BLACK-WHITE	-0.204546322830994	0.0921684624072631	10001	1569	0.0264910387857783	0.104975683546629
Bifidobacterium_breve	RACE	ASIAN-WHITE	-0.442703472652981	0.200557907004041	10001	1687	0.0273115964046537	0.107824964244395
Bifidobacterium_breve	RACE	MULT-RACIAL	-0.307542918795766	0.139465424520361	10001	1687	0.0274659171108485	0.108032607302671
Lactobacillus_gasseri	RACE	BLACK	-0.408982656772794	0.185806695198317	10001	7727	0.0277504062180993	0.108748824367607
Candidatus_Lachnocurva_vaginae_.BVAB.1.	RACE	PR	0.305027354158425	0.138709776883816	10001	2801	0.0278984440959493	0.108927013345214
Lactobacillus_crispatus	RACE	WHITE	0.398642831306669	0.182114277770558	10001	9982	0.0286220482182419	0.111342912848985
Lactobacillus_iners	Cohort	UTI only	0.204845478177238	0.093997436366733	10001	9992	0.0293351671291546	0.113700538288913
Streptococcus_agalactiae	Cohort	BV&UTI	0.12131579234486	0.0557877759760929	10001	1572	0.0296839212481197	0.114633906783648
Gardnerella_spB	RACE	BLACK	0.269038010990534	0.124933692316934	10001	4636	0.0313074880676219	0.120465769303676
Gardnerella_spD	HORMONAL_MENOPAUSE	PD	0.170591912763357	0.0797203132291876	10001	1089	0.0323886314255016	0.123729232280154
Streptococcus_anginosus	Cohort	UTI only	0.128323443187043	0.0599562296152004	10001	2197	0.0323558745154477	0.123729232280154
Gardnerella_piotii	RACE	WHITE	-0.29153691429194	0.137548127585697	10001	9242	0.0340706054967959	0.128765064190737
Gardnerella_spA	RACE	WHITE	-0.293516326181891	0.138342030201584	10001	7946	0.0338899140441858	0.128765064190737
Lactobacillus_paragasseri	RACE	OTHER-COMBINE	0.358770279260248	0.169193750811566	10001	3026	0.0339910220647007	0.128765064190737
Gardnerella_spB	HORMONAL_MENOPAUSE	YE	0.28831896310414	0.136336060903067	10001	4636	0.0344745545446262	0.129641608556781
Limosilactobacillus_coleohominis	RACE	OTHER-COMBINE	0.172585433017757	0.0816422962906364	10001	1026	0.0345466809995942	0.129641608556781
Lactobacillus_iners	RACE	MULT-RACIAL	-0.452529783868124	0.214343324852438	10001	9992	0.0347766503682743	0.130045079898265
Aspergillus_flavus	RACE	HISPANIC	-0.125040572305729	0.059274988513344	10001	1569	0.034926301237799	0.130146427770325
Anaerococcus_tetradius	HORMONAL_MENOPAUSE	YE	0.174245999350013	0.0827432106163807	10001	1373	0.0352410237575905	0.130860025281682
Streptococcus_constellatus	Cohort	BV only	0.0494941854702984	0.0235362424261067	10001	1075	0.0355001486678731	0.13136291946091
Gardnerella_spD	HORMONAL_MENOPAUSE	NO	0.124989175001019	0.0596118710729638	10001	1089	0.0360438105886575	0.132911551545674
Porphyromonas_uenonis	RACE	PR	-0.342446296449268	0.164024979755717	10001	5023	0.0368439538183412	0.135391968702693
Aerococcus_christensenii	RACE	BLACK	0.258901106693519	0.1243717589524	10001	3629	0.0373979342877563	0.136953814529645
Tissierellia_bacterium	Cohort	UTI only	-0.0752576281452041	0.036288368157587	10001	1571	0.0381162762465983	0.139104760735008
Gardnerella_spE	Cohort	UTI only	0.120508860038473	0.0582294213256666	10001	3487	0.0385199161141558	0.140096407237101
Bifidobacterium_animalis	BMI	BMI	-0.0151268624595596	0.00734443749257198	10001	1689	0.0394592966178173	0.142536642884769
Gardnerella_leopoldii	BMI	BMI	-0.0481004716996976	0.0233418479646275	10001	8197	0.0393578265862536	0.142536642884769
Anaerococcus_vaginalis	Cohort	UTI only	-0.0837927554614386	0.0409266991463451	10001	1221	0.0406463112438123	0.145603340763599
